Periodo(MMM, AAAA);Tasa de desempleo - total nacional
31/01/2001;16,62
28/02/2001;17,43
31/03/2001;15,81
30/04/2001;14,52
31/05/2001;14,04
30/06/2001;15,31
31/07/2001;15,18
31/08/2001;14,91
30/09/2001;14,07
31/10/2001;14,52
30/11/2001;13,68
31/12/2001;13,61
31/01/2002;17,91
28/02/2002;16,19
31/03/2002;15,11
30/04/2002;16,08
31/05/2002;15,02
30/06/2002;15,91
31/07/2002;15,43
31/08/2002;15,95
30/09/2002;14,47
31/10/2002;14,97
30/11/2002;15,19
31/12/2002;15,42
31/01/2003;16,27
28/02/2003;15,84
31/03/2003;13,11
30/04/2003;15,01
31/05/2003;12,82
30/06/2003;14,11
31/07/2003;14,51
31/08/2003;14,38
30/09/2003;14,23
31/10/2003;13,52
30/11/2003;12,64
31/12/2003;12,56
31/01/2004;17,26
29/02/2004;15,75
31/03/2004;13,52
30/04/2004;14,68
31/05/2004;13,83
30/06/2004;14,07
31/07/2004;12,91
31/08/2004;13,06
30/09/2004;12,29
31/10/2004;12,29
30/11/2004;11,84
31/12/2004;11,95
31/01/2005;13,26
28/02/2005;14,1
31/03/2005;12,95
30/04/2005;12,02
31/05/2005;12,49
30/06/2005;11,54
31/07/2005;12,05
31/08/2005;11,72
30/09/2005;11,33
31/10/2005;9,9
30/11/2005;10,28
31/12/2005;10,27
31/01/2006;13,37
28/02/2006;13,08
31/03/2006;11,37
30/04/2006;12,06
31/05/2006;11,87
30/06/2006;10,48
31/07/2006;12,3
31/08/2006;13,04
30/09/2006;12,91
31/10/2006;11,36
30/11/2006;11
31/12/2006;11,84
31/01/2007;14,28
28/02/2007;12,86
31/03/2007;12,03
30/04/2007;10,81
31/05/2007;11,7
30/06/2007;11,2
31/07/2007;11,35
31/08/2007;10,86
30/09/2007;10,87
31/10/2007;10,21
30/11/2007;9,49
31/12/2007;9,92
31/01/2008;13,3
29/02/2008;12,19
31/03/2008;11,34
30/04/2008;11,08
31/05/2008;10,81
30/06/2008;11,41
31/07/2008;12,21
31/08/2008;11,43
30/09/2008;11,05
31/10/2008;10,18
30/11/2008;10,91
31/12/2008;10,77
31/01/2009;14,47
28/02/2009;12,77
31/03/2009;12,19
30/04/2009;12,12
31/05/2009;11,76
30/06/2009;11,6
31/07/2009;12,84
31/08/2009;11,94
30/09/2009;12,44
31/10/2009;11,76
30/11/2009;11,39
31/12/2009;11,31
31/01/2010;14,88
28/02/2010;12,69
31/03/2010;11,96
30/04/2010;12,44
31/05/2010;12,26
30/06/2010;11,98
31/07/2010;12,86
31/08/2010;11,38
30/09/2010;10,87
31/10/2010;10,45
30/11/2010;10,93
31/12/2010;11,23
31/01/2011;13,9
28/02/2011;13,14
31/03/2011;10,95
30/04/2011;11,27
31/05/2011;11,55
30/06/2011;11,04
31/07/2011;11,7
31/08/2011;10,42
30/09/2011;9,93
31/10/2011;9,36
30/11/2011;9,49
31/12/2011;10,07
31/01/2012;12,79
29/02/2012;12,07
31/03/2012;10,5
30/04/2012;11,09
31/05/2012;10,99
30/06/2012;10,24
31/07/2012;11,16
31/08/2012;9,99
30/09/2012;10,14
31/10/2012;9,17
30/11/2012;9,46
31/12/2012;9,94
31/01/2013;12,34
28/02/2013;12,01
31/03/2013;10,38
30/04/2013;10,45
31/05/2013;9,82
30/06/2013;9,51
31/07/2013;10,16
31/08/2013;9,66
30/09/2013;9,17
31/10/2013;8,13
30/11/2013;8,63
31/12/2013;8,65
31/01/2014;11,53
28/02/2014;11,09
31/03/2014;9,84
30/04/2014;9,31
31/05/2014;9,07
30/06/2014;9,4
31/07/2014;9,69
31/08/2014;9,16
30/09/2014;8,61
31/10/2014;8,1
30/11/2014;8,06
31/12/2014;9,04
31/01/2015;11,15
28/02/2015;10,23
31/03/2015;9,12
30/04/2015;9,74
31/05/2015;9,22
30/06/2015;8,5
31/07/2015;9,22
31/08/2015;9,3
30/09/2015;9,07
31/10/2015;8,44
30/11/2015;7,56
31/12/2015;8,82
31/01/2016;12,18
29/02/2016;10,37
31/03/2016;10,46
30/04/2016;9,32
31/05/2016;9,24
30/06/2016;9,19
31/07/2016;10,2
31/08/2016;9,23
30/09/2016;8,85
31/10/2016;8,63
30/11/2016;7,77
31/12/2016;9,1
31/01/2017;11,96
28/02/2017;10,87
31/03/2017;9,9
30/04/2017;9,14
31/05/2017;9,84
30/06/2017;8,98
31/07/2017;9,94
31/08/2017;9,52
30/09/2017;9,55
31/10/2017;8,74
30/11/2017;8,76
31/12/2017;8,91
31/01/2018;12,14
28/02/2018;11,19
31/03/2018;9,77
30/04/2018;9,73
31/05/2018;9,98
30/06/2018;9,31
31/07/2018;10,04
31/08/2018;9,43
30/09/2018;9,67
31/10/2018;9,36
30/11/2018;8,99
31/12/2018;9,99
31/01/2019;13,08
28/02/2019;12,09
31/03/2019;11,18
30/04/2019;10,66
31/05/2019;10,95
30/06/2019;9,72
31/07/2019;11,28
31/08/2019;11,2
30/09/2019;10,8
31/10/2019;10,12
30/11/2019;9,62
31/12/2019;9,95
31/01/2020;13,46
29/02/2020;12,81
31/03/2020;13,18
30/04/2020;20,49
31/05/2020;21,97
30/06/2020;20,36
31/07/2020;20,91
31/08/2020;17,44
30/09/2020;16,29
31/10/2020;15,28
30/11/2020;13,91
31/12/2020;13,91
31/01/2021;17,56
28/02/2021;15,59
31/03/2021;14,73
30/04/2021;15,49
31/05/2021;15,2
30/06/2021;14,65
31/07/2021;13,06
31/08/2021;12,86
30/09/2021;11,96
31/10/2021;12
30/11/2021;11,53
31/12/2021;11,1
31/01/2022;14,65
28/02/2022;12,91
31/03/2022;12,12
30/04/2022;11,17
31/05/2022;10,65
30/06/2022;11,26
31/07/2022;10,99
31/08/2022;10,63
30/09/2022;10,75
31/10/2022;9,72
30/11/2022;9,5
31/12/2022;10,27
31/01/2023;13,7
28/02/2023;11,35
31/03/2023;10,03
30/04/2023;10,72
31/05/2023;10,48
30/06/2023;9,34
31/07/2023;9,57
31/08/2023;9,28
30/09/2023;9,25
31/10/2023;9,23
30/11/2023;9,01
31/12/2023;10,01
31/01/2024;12,66
29/02/2024;11,67
31/03/2024;11,29
30/04/2024;10,65
31/05/2024;10,31
30/06/2024;10,27
31/07/2024;9,92
31/08/2024;9,66
30/09/2024;9,13
31/10/2024;9,13
30/11/2024;8,17
31/12/2024;9,13
31/01/2025;11,64
28/02/2025;10,33
31/03/2025;9,62
30/04/2025;8,78
31/05/2025;9,04
30/06/2025;8,55
31/07/2025;8,84
31/08/2025;8,6
